#Session	individual	day	trap
1	1	2	C03N
1	2	5	C03N
1	3	15	C03N
1	4	17	C03N
1	5	20	C03N
1	6	22	C03N
1	7	37	C03N
1	8	46	C03N
1	9	17	C13N
1	10	21	C13N
1	11	32	C13N
1	12	43	C13N
1	13	44	C13N
1	14	3	C15N
1	15	4	C15N
1	16	4	C15N
1	17	6	C15N
1	18	6	C15N
1	19	7	C15N
1	20	7	C15N
1	21	8	C15N
1	22	8	C15N
1	23	8	C15N
1	24	9	C15N
1	25	9	C15N
1	26	10	C15N
1	27	10	C15N
1	28	10	C15N
1	29	10	C15N
1	30	11	C15N
1	31	11	C15N
1	32	11	C15N
1	33	12	C15N
1	34	13	C15N
1	35	13	C15N
1	36	14	C15N
1	37	16	C15N
1	38	16	C15N
1	39	16	C15N
1	40	16	C15N
1	41	17	C15N
1	42	17	C15N
1	43	19	C15N
1	44	19	C15N
1	45	20	C15N
1	46	22	C15N
1	47	22	C15N
1	48	24	C15N
1	49	24	C15N
1	50	25	C15N
1	51	25	C15N
1	52	25	C15N
1	53	26	C15N
1	54	26	C15N
1	55	27	C15N
1	56	28	C15N
1	57	29	C15N
1	58	29	C15N
1	59	29	C15N
1	60	30	C15N
1	61	30	C15N
1	62	31	C15N
1	63	32	C15N
1	64	33	C15N
1	65	34	C15N
1	66	34	C15N
1	67	35	C15N
1	68	35	C15N
1	69	36	C15N
1	70	37	C15N
1	71	38	C15N
1	72	38	C15N
1	73	38	C15N
1	74	40	C15N
1	75	40	C15N
1	76	41	C15N
1	77	42	C15N
1	78	42	C15N
1	79	43	C15N
1	80	44	C15N
1	81	44	C15N
1	82	45	C15N
1	83	48	C15N
1	84	4	C19N
1	85	4	C19N
1	86	4	C19N
1	87	6	C19N
1	88	8	C19N
1	89	9	C19N
1	90	10	C19N
1	91	12	C19N
1	92	13	C19N
1	93	14	C19N
1	94	16	C19N
1	95	17	C19N
1	96	18	C19N
1	97	20	C19N
1	98	21	C19N
1	99	22	C19N
1	100	23	C19N
1	101	24	C19N
1	102	25	C19N
1	103	25	C19N
1	104	26	C19N
1	105	26	C19N
1	106	26	C19N
1	107	27	C19N
1	108	29	C19N
1	109	29	C19N
1	110	30	C19N
1	111	31	C19N
1	112	32	C19N
1	113	32	C19N
1	114	32	C19N
1	115	33	C19N
1	116	33	C19N
1	117	34	C19N
1	118	35	C19N
1	119	35	C19N
1	120	36	C19N
1	121	37	C19N
1	122	38	C19N
1	123	38	C19N
1	124	40	C19N
1	125	40	C19N
1	126	41	C19N
1	127	41	C19N
1	128	42	C19N
1	129	42	C19N
1	130	43	C19N
1	131	44	C19N
1	132	45	C19N
1	133	46	C19N
1	134	3	C21N
1	135	4	C21N
1	136	7	C21N
1	137	19	C21N
1	138	27	C21N
1	139	5	C23N
1	140	25	C23N
1	141	35	C23N
1	142	3	C25N
1	143	6	C25N
1	144	10	C25N
1	145	10	C25N
1	146	10	C25N
1	147	10	C25N
1	148	15	C25N
1	149	19	C25N
1	150	47	C25N
1	151	7	C27N
1	152	22	C27N
1	153	25	C27N
1	154	36	C27N
1	155	4	C30N
1	156	7	C30N
1	157	19	C30N
1	158	6	C32N
1	159	9	C32N
1	160	12	C32N
1	161	13	C32N
1	162	19	C32N
1	163	23	C32N
1	164	29	C32N
1	165	46	C32N
1	166	4	C34N
1	167	5	C34N
1	168	26	C34N
1	169	30	C34N
1	170	10	C36N
1	171	30	C36N
1	172	43	C36N
1	173	47	C36N
1	174	27	C38N
1	175	42	C38N
1	176	44	C38N
1	177	3	C40N
1	178	5	C40N
1	179	5	C40N
1	180	6	C40N
1	181	8	C40N
1	182	8	C40N
1	183	12	C40N
1	184	14	C40N
1	185	15	C40N
1	186	17	C40N
1	187	18	C40N
1	188	18	C40N
1	189	19	C40N
1	190	25	C40N
1	191	33	C40N
1	192	36	C40N
1	193	39	C40N
1	194	43	C40N
1	195	46	C40N
1	196	2	C42N
1	197	10	C42N
1	198	12	C42N
1	199	13	C42N
1	200	17	C42N
1	201	34	C42N
1	202	34	C42N
1	203	35	C42N
1	204	41	C42N
1	205	11	C44N
1	206	12	C44N
1	207	13	C44N
1	208	15	C44N
1	209	18	C44N
1	210	18	C44N
1	211	24	C44N
1	212	35	C44N
1	213	42	C44N
1	214	46	C44N
1	215	48	C44N
1	216	24	C45N
1	217	13	C47N
1	218	25	C47N
1	219	26	C47N
1	220	30	C47N
1	221	48	C47N
1	222	2	C49N
1	223	2	C49N
1	224	2	C49N
1	225	7	C49N
1	226	8	C49N
1	227	11	C49N
1	228	12	C49N
1	229	14	C49N
1	230	14	C49N
1	231	14	C49N
1	232	16	C49N
1	233	16	C49N
1	234	25	C49N
1	235	27	C49N
1	236	32	C49N
1	237	32	C49N
1	238	21	C51N
1	239	27	C51N
1	240	32	C51N
1	241	33	C51N
1	242	33	C51N
1	243	35	C51N
1	244	36	C51N
1	245	40	C51N
1	246	10	C53N
1	247	12	C53N
1	248	15	C53N
1	249	21	C53N
1	250	2	C55N
1	251	2	C55N
1	252	5	C55N
1	253	32	C55N
1	254	25	C57N
1	255	7	C60N
1	256	8	C60N
1	257	8	C60N
1	258	14	C60N
1	259	16	C60N
1	260	26	C60N
1	261	31	C60N
1	262	36	C60N
1	263	10	C62N
1	264	12	C62N
1	265	14	C62N
1	266	40	C62N
1	267	44	C62N
1	268	44	C62N
1	269	46	C62N
1	270	3	C64N
1	271	7	C64N
1	272	18	C64N
1	273	21	C64N
1	274	23	C64N
1	275	25	C64N
1	276	26	C64N
1	277	30	C64N
1	278	33	C64N
1	279	15	C66N
1	280	29	C66N
1	281	4	C68NNN
1	282	2	C71N
1	283	9	C71N
1	284	17	C71N
1	285	23	C71N
1	286	27	C71N
1	287	27	C71N
1	288	31	C71N
1	289	32	C71N
1	290	39	C71N
1	291	40	C71N
1	292	43	C71N
1	293	47	C71N
1	294	4	C73N
1	295	7	C73N
1	296	10	C73N
1	297	13	C73N
1	298	16	C73N
1	299	16	C73N
1	300	16	C73N
1	301	18	C73N
1	302	18	C73N
1	303	18	C73N
1	304	21	C73N
1	305	22	C73N
1	306	22	C73N
1	307	24	C73N
1	308	25	C73N
1	309	27	C73N
1	310	31	C73N
1	311	34	C73N
1	312	39	C73N
1	313	40	C73N
1	314	44	C73N
1	315	45	C73N
1	316	2	C75N
1	317	4	C75N
1	318	5	C75N
1	319	5	C75N
1	320	5	C75N
1	321	7	C75N
1	322	7	C75N
1	323	13	C75N
1	324	15	C75N
1	325	16	C75N
1	326	17	C75N
1	327	19	C75N
1	328	27	C75N
1	329	31	C75N
1	330	19	C77NNN
1	331	21	C77NNN
1	332	34	C77NNN
1	333	34	C77NNN
1	334	34	C77NNN
1	335	35	C77NNN
1	336	2	C79N
1	337	2	C79N
1	338	3	C79N
1	339	4	C79N
1	340	5	C79N
1	341	6	C79N
1	342	10	C79N
1	343	11	C79N
1	344	16	C79N
1	345	17	C79N
1	346	18	C79N
1	347	20	C79N
1	348	21	C79N
1	349	23	C79N
1	350	25	C79N
1	351	28	C79N
1	352	40	C79N
1	353	42	C79N
1	354	3	C81N
1	355	4	C81N
1	356	5	C81N
1	357	7	C81N
1	358	9	C81N
1	359	16	C81N
1	360	26	C81N
1	361	27	C81N
1	362	29	C81N
1	363	34	C81N
1	364	34	C81N
1	365	46	C81N
1	366	2	C90N
1	367	3	C90N
1	368	6	C90N
1	369	14	C90N
1	370	14	C90N
1	371	21	C90N
1	372	26	C90N
1	373	29	C90N
1	374	3	C91N
1	375	29	C91N
1	376	3	C95N
1	377	5	C95N
1	378	8	C95N
1	379	8	C95N
1	380	12	C95N
1	381	16	C95N
1	382	17	C95N
1	383	19	C95N
1	384	24	C95N
1	385	26	C95N
1	386	29	C95N
1	387	30	C95N
1	388	33	C95N
1	389	37	C95N
1	390	40	C95N
1	391	47	C95N
1	392	2	C96N
1	393	2	C96N
1	394	39	C96N
1	395	43	C96N
1	396	43	C96N
